City ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
168,Bartica,100,GY,1630002882,69,6.4,-58.6167,89.92,2.84
169,Broome,1,US,1630002883,63,42.2506,-75.833,88.02,1.01
170,Saint Paul Harbor,1,US,1630002883,77,57.79,-152.4072,56.71,0.0
171,Springbok,13,ZA,1630002883,92,-29.6643,17.8865,43.74,7.85
172,Darlawn,100,IN,1630002884,98,24.0167,92.9,68.58,1.95
173,Nanortalik,25,GL,1630002884,83,60.1432,-45.2371,45.1,16.13
174,Rapid Valley,1,US,1630002643,52,44.0625,-103.1463,86.86,1.99
175,Ifo,100,NG,1630002884,88,6.8144,3.1958,80.22,5.1
176,Anloga,100,GH,1630002885,83,5.7947,0.8973,80.82,10.78
177,Chapais,100,CA,1630002885,72,49.7834,-74.8492,64.18,12.86
178,Bereslavka,5,RU,1630002886,34,48.6254,44.0449,72.37,9.17
179,Bethel,1,US,1630002870,57,41.3712,-73.414,95.36,1.99
180,Ovsyanka,6,RU,1630002886,94,55.9575,92.5519,54.57,1.48
181,North Platte,75,US,1630002886,54,41.1239,-100.7654,82.29,10.36
182,Zinder,20,NE,1630002887,58,13.8072,8.9881,87.76,6.91
183,Ust'-Kan,3,RU,1630002887,87,50.9276,84.761,49.37,1.48
184,Atasū,56,KZ,1630002887,27,48.6814,71.6433,70.65,8.25
185,Manono,22,CD,1630002888,28,-7.3,27.4167,84.34,4.56
186,Kutum,100,SD,1630002888,54,14.2,24.6667,76.23,8.55
187,Yangmei,27,CN,1630002888,97,24.1023,112.5618,71.2,1.54
188,City of San Pedro,75,PH,1630002889,91,14.35,121.0167,78.35,1.14
189,Bandundu Province,82,CD,1630002889,44,-3.3167,17.3667,86.97,3.4
190,Vao,47,NC,1630002889,76,-22.6667,167.4833,70.48,13.73
191,Sibu,20,MY,1630002890,100,2.3,111.8167,73.71,2.3
192,Hong Kong,1,HK,1630002722,83,22.2855,114.1577,85.32,1.01
193,Maumere,11,ID,1630002890,82,-8.6199,122.2111,77.14,5.61
194,Narrabri,75,AU,1630002891,87,-30.3167,149.7833,39.29,0.0
195,Nome,40,US,1630002891,76,64.5011,-165.4064,46.17,9.22
196,Arraial do Cabo,0,BR,1630002891,40,-22.9661,-42.0278,87.66,18.41
197,Kahului,40,US,1630002892,66,20.8947,-156.47,78.96,10.36
198,Tallahassee,40,US,1630002689,60,30.4383,-84.2807,92.08,3.0
199,Bima,90,ID,1630002892,94,-8.4667,118.7167,72.91,3.76
200,Coari,13,BR,1630002892,18,-4.085,-63.1414,103.53,3.18
201,Kashgar,36,CN,1630002893,38,39.4547,75.9797,76.21,6.71
202,Siliştea,21,RO,1630002893,47,44.3833,25.35,73.38,3.62
203,Fallon,1,US,1630002893,15,39.4735,-118.7774,81.91,3.44
204,Talara,0,PE,1630002894,64,-4.5772,-81.2719,74.16,18.41
205,Kiryat Gat,0,IL,1630002894,76,31.61,34.7642,83.8,6.98
206,Linguère,75,SN,1630002895,59,15.3953,-15.1193,93.42,6.91
